movie_name,quote,ranking,score,score_num
步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,229,8.8,263323
魂断蓝桥,中国式内在的美国电影。,230,8.8,262939
战争之王,做一颗让别人需要你的棋子。,231,8.7,346339
爱乐之城,,232,8.4,832450
末路狂花,没有了退路，只好飞向自由。,233,8.9,228010
谍影重重2,谁说王家卫镜头很晃？,234,8.7,333647
火星救援,,235,8.5,680849
燃情岁月,传奇，不是每个人都可以拥有。,236,8.8,273384
千年女优,爱情是一场没有尽头的虚幻追逐。,237,8.8,244466
花束般的恋爱,,238,8.6,522894
阿飞正传,王家卫是一种风格，张国荣是一个代表。,239,8.5,480415
再次出发之纽约遇见你,爱我就给我看你的播放列表。,240,8.6,406873
谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,241,8.6,401900
朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,242,8.6,437368
海洋,大海啊，不全是水。,243,9.1,152422
香水,一个单凭体香达到高潮的男人。,244,8.5,521946
穿越时空的少女,爱上未来的你。 ,245,8.6,364587
哈利·波特与死亡圣器(上),最忠于原著的一部。,246,8.5,525511
弱点,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,247,8.7,280819
地球上的星星,天使保护事件始末。,248,8.9,194972
我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,249,9.0,157562
完美陌生人,来啊，互相伤害啊！,250,8.5,502186
